n,1_over_n,log2_n,12sqrt_n,n_pow_0_51,50sqrt_n,2pow32_n,nlog2n,100n2_plus_6n,n2_minus_324,2n3,n_log2_n,3_pow_n
40,0.025000,5.321928,75.894664,6.562217,316.227766,171798691840,212.877124,160240.000000,1276.000000,128000.000000,335774783.338666,12157665459056928768.000000
41,0.024390,5.357552,76.837491,6.645379,320.156212,176093659136,219.659632,168346.000000,1357.000000,137842.000000,437092530.213586,36472996377170788352.000000
42,0.023810,5.392317,77.768888,6.727553,324.037035,180388626432,226.477332,176652.000000,1440.000000,148176.000000,566337644.444530,109418989131512365056.000000
43,0.023256,5.426265,78.689262,6.808774,327.871926,184683593728,233.329384,185158.000000,1525.000000,159014.000000,730520333.030495,328256967394537046016.000000
44,0.022727,5.459432,79.598995,6.889074,331.662479,188978561024,240.214991,193864.000000,1612.000000,170368.000000,938247694.115958,984770902183611203584.000000
45,0.022222,5.491853,80.498447,6.968485,335.410197,193273528320,247.133389,202770.000000,1701.000000,182250.000000,1200052546.014570,2954312706550833610752.000000
46,0.021739,5.523562,81.387960,7.047036,339.116499,197568495616,254.083850,211876.000000,1792.000000,194672.000000,1528783198.797139,8862938119652501356544.000000
47,0.021277,5.554589,82.267855,7.124755,342.782730,201863462912,261.065676,221182.000000,1885.000000,207646.000000,1940064284.420898,26588814358957501972480.000000
48,0.020833,5.584963,83.138439,7.201667,346.410162,206158430208,268.078200,230688.000000,1980.000000,221184.000000,2452840257.137437,79766443076872514306048.000000
49,0.020408,5.614710,84.000000,7.277798,350.000000,210453397504,275.120782,240394.000000,2077.000000,235298.000000,3090014867.487506,239299329230617526140928.000000
50,0.020000,5.643856,84.852814,7.353172,353.553391,214748364800,282.192809,250300.000000,2176.000000,250000.000000,3879201823.113272,717897987691852578422784.000000
51,0.019608,5.672425,85.697141,7.427810,357.071421,219043332096,289.293692,260406.000000,2277.000000,265302.000000,4853604002.698648,2153693963075557735268352.000000
52,0.019231,5.700440,86.533231,7.501735,360.555128,223338299392,296.422865,270712.000000,2380.000000,281216.000000,6053041012.852460,6461081889226672937369600.000000
53,0.018868,5.727920,87.361319,7.574966,364.005494,227633266688,303.579784,281218.000000,2485.000000,297754.000000,7525147601.618924,19383245667680019885850624.000000
54,0.018519,5.754888,88.181631,7.647523,367.423461,231928233984,310.763925,291924.000000,2592.000000,314928.000000,9326768499.374613,58149737003040063952519168.000000
55,0.018182,5.781360,88.994382,7.719425,370.809924,236223201280,317.974784,302830.000000,2701.000000,332750.000000,11525578684.136219,174449211009120166087753728.000000
56,0.017857,5.807355,89.799777,7.790689,374.165739,240518168576,325.211876,313936.000000,2812.000000,351232.000000,14201961903.148504,523347633027360566982737920.000000
57,0.017544,5.832890,90.598013,7.861333,377.491722,244813135872,332.474731,325242.000000,2925.000000,370386.000000,17451184569.123379,1570042899082081632228737024.000000
58,0.017241,5.857981,91.389277,7.931371,380.788655,249108103168,339.762898,336748.000000,3040.000000,390224.000000,21385906934.717026,4710128697246244896686211072.000000
59,0.016949,5.882643,92.173749,8.000820,384.057287,253403070464,347.075940,348454.000000,3157.000000,410758.000000,26139078784.135380,14130386091738735239814447104.000000
60,0.016667,5.906891,92.951600,8.069695,387.298335,257698037760,354.413436,360360.000000,3276.000000,432000.000000,31867272822.158600,42391158275216203520420085760.000000
61,0.016393,5.930737,93.722996,8.138010,390.512484,261993005056,361.774978,372466.000000,3397.000000,453962.000000,38754515549.413361,127173474825648601765167235072.000000
62,0.016129,5.954196,94.488094,8.205778,393.700394,266287972352,369.160171,384772.000000,3520.000000,476656.000000,47016682754.831543,381520424476945858072059838464.000000
63,0.015873,5.977280,95.247047,8.273012,396.862697,270582939648,376.568635,397278.000000,3645.000000,500094.000000,56906534904.194740,1144561273430837433478691160064.000000
64,0.015625,6.000000,96.000000,8.339726,400.000000,274877906944,384.000000,409984.000000,3772.000000,524288.000000,68719476736.000000,3433683820292512441173561835520.000000
65,0.015385,6.022368,96.747093,8.405931,403.112887,279172874240,391.453908,422890.000000,3901.000000,549250.000000,82800135377.910553,10301051460877537886470638927872.000000
66,0.015152,6.044394,97.488461,8.471638,406.201920,283467841536,398.930012,435996.000000,4032.000000,574992.000000,99549862361.286392,30903154382632611407612103098368.000000
67,0.014925,6.066089,98.224233,8.536860,409.267639,287762808832,406.427976,449302.000000,4165.000000,601526.000000,119435277138.105331,92709463147897834222836309295104.000000
68,0.014706,6.087463,98.954535,8.601606,412.310563,292057776128,413.947473,462808.000000,4300.000000,628864.000000,142997983202.671326,278128389443693520682907437367296.000000
69,0.014493,6.108524,99.679486,8.665887,415.331193,296352743424,421.488188,476514.000000,4437.000000,657018.000000,170865602807.570282,834385168331080489991128274173952.000000
70,0.014286,6.129283,100.399203,8.729714,418.330013,300647710720,429.049811,490420.000000,4576.000000,686000.000000,203764292666.717010,2503155504993241614088572898377728.000000
71,0.014085,6.149747,101.113797,8.793095,421.307489,304942678016,436.632045,504526.000000,4717.000000,715822.000000,242532921095.686401,7509466514979724842265718695133184.000000
72,0.013889,6.169925,101.823376,8.856040,424.264069,309237645312,444.234600,518832.000000,4860.000000,746496.000000,288139106899.549438,22528399544939172220954146871705600.000000
73,0.013699,6.189825,102.528045,8.918558,427.200187,313532612608,451.857193,533338.000000,5005.000000,778034.000000,341697342141.748596,67585198634817525886234477469892608.000000
74,0.013514,6.209453,103.227903,8.980658,430.116263,317827579904,459.499549,548044.000000,5152.000000,810448.000000,404489444887.288086,202755595904452568435331395554902016.000000
75,0.013333,6.228819,103.923048,9.042349,433.012702,322122547200,467.161402,562950.000000,5301.000000,843750.000000,477987614296.600708,608266787713357742199482334083809280.000000
76,0.013158,6.247928,104.613575,9.103637,435.889894,326417514496,474.842491,578056.000000,5452.000000,877952.000000,563880389253.982544,1824800363140073226598447002251427840.000000
77,0.012987,6.266787,105.299573,9.164532,438.748219,330712481792,482.542564,593362.000000,5605.000000,913066.000000,664101843263.325806,5474401089420219384647435827401457664.000000
78,0.012821,6.285402,105.981130,9.225040,441.588043,335007449088,490.261373,608868.000000,5760.000000,949104.000000,780864382867.258179,16423203268260656973350686764793069568.000000
79,0.012658,6.303781,106.658333,9.285169,444.409721,339302416384,497.998679,624574.000000,5917.000000,986078.000000,916695554594.451172,49269609804781973281235301729201815552.000000
80,0.012500,6.321928,107.331263,9.344927,447.213595,343597383680,505.754248,640480.000000,6076.000000,1024000.000000,1074479306683.732788,147808829414345929288438870926895874048.000000
81,0.012346,6.339850,108.000000,9.404319,450.000000,347892350976,513.527850,656586.000000,6237.000000,1062882.000000,1257502196862.077637,443426488243037806754782544259268476928.000000
82,0.012195,6.357552,108.664622,9.463354,452.769257,352187318272,521.319264,672892.000000,6400.000000,1102736.000000,1469505086578.075928,1330279464729113344706483906863482011648.000000
83,0.012048,6.375039,109.325203,9.522036,455.521679,356482285568,529.128273,689398.000000,6565.000000,1143574.000000,1714740915646.343262,3990838394187339731887996816933152358400.000000
84,0.011905,6.392317,109.981817,9.580373,458.257569,360777252864,536.954664,706104.000000,6732.000000,1185408.000000,1998039209600.302002,11972515182562020404589810065428631781376.000000
85,0.011765,6.409391,110.634533,9.638371,460.977223,365072220160,544.798230,723010.000000,6901.000000,1228250.000000,2324878035563.612793,35917545547686061213769430196285895344128.000000
86,0.011628,6.426265,111.283422,9.696036,463.680925,369367187456,552.658769,740116.000000,7072.000000,1272112.000000,2701464191546.769043,107752636643058169134198455213307589558272.000000
87,0.011494,6.442943,111.928549,9.753373,466.368953,373662154752,560.536084,757422.000000,7245.000000,1317006.000000,3134822489193.732910,323257909929174546088221593308056359272448.000000
88,0.011364,6.459432,112.569978,9.810388,469.041576,377957122048,568.429982,774928.000000,7420.000000,1362944.000000,3632895071616.988770,969773729787523638264664779924169077817344.000000
89,0.011236,6.475733,113.207774,9.867086,471.699057,382252089344,576.340275,792634.000000,7597.000000,1409938.000000,4204651796570.445312,2909321189362571069536499250445041595842560.000000
90,0.011111,6.491853,113.841996,9.923473,474.341649,386547056640,584.266779,810540.000000,7776.000000,1458000.000000,4860212811359.010742,8727963568087711970669458465954849888403456.000000
91,0.010989,6.507795,114.472704,9.979553,476.969601,390842023936,592.209312,828646.000000,7957.000000,1507142.000000,5610984550145.731445,26183890704263137149948414683244824564334592.000000
92,0.010870,6.523562,115.099957,10.035333,479.583152,395136991232,600.167700,846952.000000,8140.000000,1557376.000000,6469810497309.495117,78551672112789411449845244049734473693003776.000000
93,0.010753,6.539159,115.723809,10.090816,482.182538,399431958528,608.141769,865458.000000,8325.000000,1608714.000000,7451138182883.638672,235655016338368244253056046432245620272005120.000000
94,0.010638,6.554589,116.344317,10.146008,484.767986,403726925824,616.131352,884164.000000,8512.000000,1661168.000000,8571204008571.528320,706965049015104732759168139296736860816015360.000000
95,0.010526,6.569856,116.961532,10.200913,487.339717,408021893120,624.136283,903070.000000,8701.000000,1714750.000000,9848237646135.273438,2120895147045314198277504417890210582448046080.000000
96,0.010417,6.584963,117.575508,10.255535,489.897949,412316860416,632.156400,922176.000000,8892.000000,1769472.000000,11302687904889.308594,6362685441135941961007213139555930998992535552.000000
97,0.010309,6.599913,118.186294,10.309879,492.442890,416611827712,640.191546,941482.000000,9085.000000,1825346.000000,12957472132446.736328,19088056323407825883021639418667792996977606656.000000
98,0.010204,6.614710,118.793939,10.363950,494.974747,420906795008,648.241565,960988.000000,9280.000000,1882384.000000,14838251393675.007812,57264168970223482719667319168920984977745641472.000000
99,0.010101,6.629357,119.398492,10.417750,497.493719,425201762304,656.306305,980694.000000,9477.000000,1940598.000000,16973733867978.308594,171792506910670448159001957506762954933236924416.000000
100,0.010000,6.643856,120.000000,10.471285,500.000000,429496729600,664.385619,1000600.000000,9676.000000,2000000.000000,19396009115566.359375,515377520732011324194596268868618440852459487232.000000
101,0.009901,6.658211,120.598507,10.524559,502.493781,433791696896,672.479360,1020706.000000,9877.000000,2060602.000000,22140916090385.347656,1546132562196034134843065635819218714135388749824.000000
102,0.009804,6.672425,121.194059,10.577574,504.975247,438086664192,680.587385,1041012.000000,10080.000000,2122416.000000,25248448022038.359375,4638397686588101755492089590604202576094125096960.000000
103,0.009709,6.686501,121.786699,10.630336,507.444578,442381631488,688.709554,1061518.000000,10285.000000,2185454.000000,28763197552546.371094,13915193059764305915513376088666061294594416443392.000000
104,0.009615,6.700440,122.376468,10.682847,509.901951,446676598784,696.845731,1082224.000000,10492.000000,2249728.000000,32734845797506.093750,41745579179292917746540128265998183883783249330176.000000
105,0.009524,6.714246,122.963409,10.735111,512.347538,450971566080,704.995779,1103130.000000,10701.000000,2315250.000000,37218699306492.414062,125236737537878753239620384797994551651349747990528.000000
106,0.009434,6.727920,123.547562,10.787132,514.781507,455266533376,713.159568,1124236.000000,10912.000000,2382032.000000,42276279225895.109375,375710212613636301257236022672604683198019877732352.000000
107,0.009346,6.741467,124.128965,10.838913,517.204022,459561500672,721.336968,1145542.000000,11125.000000,2450086.000000,47975967320368.843750,1127130637840908820694958331460571993106118365675520.000000
108,0.009259,6.754888,124.707658,10.890457,519.615242,463856467968,729.527850,1167048.000000,11340.000000,2519424.000000,54393713888352.726562,3381391913522726295931375521267231866342472561983488.000000
109,0.009174,6.768184,125.283678,10.941768,522.015325,468151435264,737.732091,1188754.000000,11557.000000,2590058.000000,61613813014483.601562,10144175740568178887794126563801695599027417685950464.000000
110,0.009091,6.781360,125.857062,10.992849,524.404424,472446402560,745.949568,1210660.000000,11776.000000,2662000.000000,69729751039024.148438,30432527221704537992610375476320959700889313338195968.000000
111,0.009009,6.794416,126.427845,11.043703,526.782688,476741369856,754.180161,1232766.000000,11997.000000,2735262.000000,78845134593689.046875,91297581665113608660919143289299387487439698893209600.000000
112,0.008929,6.807355,126.996063,11.094333,529.150262,481036337152,762.423751,1255072.000000,12220.000000,2809856.000000,89074705056547.390625,273892744995340825982757429867898162462319096679628800.000000
