n,1_over_n,log2_n,12sqrt_n,n_pow_0_51,50sqrt_n,2pow32_n,nlog2n,100n2_plus_6n,n2_minus_324,2n3,n_log2_n,3_pow_n
167,0.005988,7.383704,155.074176,13.601456,646.142399,717259538432,1233.078617,2789902.000000,27565.000000,9314926.000000,25815536140649996.000000,47780373265559360425480699617702280285075664246709876808652585187227821573931008.000000
168,0.005952,7.392317,155.537777,13.642933,648.074070,721554505728,1241.909327,2823408.000000,27900.000000,9483264.000000,28196329325879468.000000,143341119796678081276442098853106840855226992740129630425957755561683464721793024.000000
169,0.005917,7.400879,156.000000,13.684288,650.000000,725849473024,1250.748625,2857114.000000,28237.000000,9653618.000000,30783705709155628.000000,430023359390034217501253379420023848086174057302780811554099416547772580587634688.000000
170,0.005882,7.409391,156.460858,13.725525,651.920241,730144440320,1259.596459,2891020.000000,28576.000000,9826000.000000,33594487613894204.000000,1290070078170102757816051806817258242176549855578774753557393650192428996073881600.000000
171,0.005848,7.417853,156.920362,13.766642,653.834842,734439407616,1268.452780,2925126.000000,28917.000000,10000422.000000,36646779341609744.000000,3870210234510307641574405409108654539021483464713730347301608547282619462355779584.000000
172,0.005814,7.426265,157.378525,13.807642,655.743852,738734374912,1277.317538,2959432.000000,29260.000000,10176896.000000,39960058321359808.000000,11610630703530923767221549575783457200408671863504649593065588846240748421555159040.000000
173,0.005780,7.434628,157.835357,13.848525,657.647322,743029342208,1286.190683,2993938.000000,29605.000000,10355434.000000,43555272285574384.000000,34831892110592771301664648727350371601226015590513948779196766538722245264665477120.000000
174,0.005747,7.442943,158.290871,13.889292,659.545298,747324309504,1295.072168,3028644.000000,29952.000000,10536048.000000,47454942841414720.000000,104495676331778320644980612969711063470431818526449514746876405251309856069898993664.000000
175,0.005714,7.451211,158.745079,13.929945,661.437828,751619276800,1303.961945,3063550.000000,30301.000000,10718750.000000,51683275827677688.000000,313487028995334948454968505333813293077787912069533207422057004483643327657891856384.000000
176,0.005682,7.459432,159.197990,13.970484,663.324958,755914244096,1312.859965,3098656.000000,30652.000000,10903552.000000,56266278869203920.000000,940461086986004845364905516001439879233363736208599622266171013450929982973675569152.000000
177,0.005650,7.467606,159.649616,14.010911,665.206735,760209211392,1321.766182,3133962.000000,31005.000000,11090466.000000,61231886563840024.000000,2821383260958014536094716548004319637700091208625798866798513040352789948921026707456.000000
178,0.005618,7.475733,160.099969,14.051225,667.083203,764504178688,1330.680551,3169468.000000,31360.000000,11279504.000000,66610093761268984.000000,8464149782874044039643296318423195627772515018191487378589849881707529544420844109824.000000
179,0.005587,7.483816,160.549058,14.091429,668.954408,768799145984,1339.603024,3205174.000000,31717.000000,11470678.000000,72433097418549424.000000,25392449348622130393493302257628640024628579485318099022992306602525949842631476379648.000000
180,0.005556,7.491853,160.996894,14.131523,670.820393,773094113280,1348.533557,3241080.000000,32076.000000,11664000.000000,78735447544015968.000000,76177348045866394631353080168167813791263669594467023294531405892771127109156541038592.000000
181,0.005525,7.499846,161.443489,14.171508,672.681202,777389080576,1357.472106,3277186.000000,32437.000000,11859482.000000,85554207769384864.000000,228532044137599183894059240504503441373791008783401069883594217678313381327469623115776.000000
182,0.005495,7.507795,161.888851,14.211385,674.536878,781684047872,1366.418625,3313492.000000,32800.000000,12057136.000000,92929126119513616.000000,685596132412797524075192334351255174382349577242101399846346764353393923332311974150144.000000
183,0.005464,7.515700,162.332991,14.251155,676.387463,785979015168,1375.373070,3349998.000000,33165.000000,12256974.000000,100902816580373648.000000,2056788397238392461797635454404744924190954935293896960321296738333996887396548341661696.000000
184,0.005435,7.523562,162.775920,14.290818,678.232998,790273982464,1384.335400,3386704.000000,33532.000000,12459008.000000,109520952098455152.000000,6170365191715177827104672557810317168397239991611319837834864433906730192591195348140032.000000
185,0.005405,7.531381,163.217646,14.330376,680.073525,794568949760,1393.305570,3423610.000000,33901.000000,12663250.000000,118832469679132560.000000,18511095575145533481314017673430951505191719974833959513504593301720190577773586044420096.000000
186,0.005376,7.539159,163.658180,14.369829,681.909085,798863917056,1402.283539,3460716.000000,34272.000000,12869712.000000,128889788287521136.000000,55533286725436596910247923463524195348980158438664846885545986153922655490108355548020736.000000
187,0.005348,7.546894,164.097532,14.409178,683.739717,803158884352,1411.269264,3498022.000000,34645.000000,13078406.000000,139749040293153952.000000,166599860176309790730743770390572586046940475315994540656637958461767966470325066644062208.000000
188,0.005319,7.554589,164.535710,14.448425,685.565460,807453851648,1420.262704,3535528.000000,35020.000000,13289344.000000,151470317239476064.000000,499799580528929372192231311171717758140821425947983621969913875385303899410975199932186624.000000
189,0.005291,7.562242,164.972725,14.487569,687.386354,811748818944,1429.263818,3573234.000000,35397.000000,13502538.000000,164117930760763936.000000,1499398741586788286194012152240048914419024349164128385348195726215331677907120923888058368.000000
190,0.005263,7.569856,165.408585,14.526612,689.202438,816043786240,1438.272566,3611140.000000,35776.000000,13718000.000000,177760689512741696.000000,4498196224760364180112763581820564183270832762211675078290770778408315115024581475298181120.000000
191,0.005236,7.577429,165.843300,14.565554,691.013748,820338753536,1447.288906,3649246.000000,36157.000000,13935742.000000,192472193028946688.000000,13494588674281094349589685078527246043109139047383585442215822735858758461598494549537193984.000000
192,0.005208,7.584963,166.276878,14.604397,692.820323,824633720832,1456.312800,3687552.000000,36540.000000,14155776.000000,208331143462919712.000000,40483766022843284858020449568647291622624057902899316533990978608210088501320233772254232576.000000
193,0.005181,7.592457,166.709328,14.643140,694.622199,828928688128,1465.344208,3726058.000000,36925.000000,14378114.000000,225421676226639296.000000,121451298068529847337055771373679660894685610665703708772598894222095013037861700822192095232.000000
194,0.005155,7.599913,167.140659,14.681786,696.419414,833223655424,1474.383091,3764764.000000,37312.000000,14602768.000000,243833710588382720.000000,364353894205589556485178468785563410630429958083099607976544765871355544045783103455717490688.000000
195,0.005128,7.607330,167.570881,14.720334,698.212002,837518622720,1483.429411,3803670.000000,37701.000000,14829750.000000,263663321348522336.000000,1093061682616768495767401550382397096534812361217437044024657299153220572950973298497458012160.000000
196,0.005102,7.614710,168.000000,14.758785,700.000000,841813590016,1492.483129,3842776.000000,38092.000000,15059072.000000,285013132769709568.000000,3279185047850305950470561600411972983888377118403942545153910560021917876683255927144892596224.000000
197,0.005076,7.622052,168.428026,14.797140,701.783442,846108557312,1501.544208,3882082.000000,38485.000000,15290746.000000,307992735998626048.000000,9837555143550917388243327851971137257381191320460196222381793017503497472219431749782159228928.000000
198,0.005051,7.629357,168.854967,14.835400,703.562364,850403524608,1510.612611,3921588.000000,38880.000000,15524784.000000,332719131280110720.000000,29512665430652752164729983555913411772143573961380588667145379052510492416658295249346477686784.000000
199,0.005025,7.636625,169.280832,14.873565,705.336799,854698491904,1519.688299,3961294.000000,39277.000000,15761198.000000,359317196331066432.000000,88537996291958260199536806261858488870702242162154817306075646458029526512617574001259581538304.000000
200,0.005000,7.643856,169.705627,14.911636,707.106781,858993459200,1528.771238,4001200.000000,39676.000000,16000000.000000,387920182311327040.000000,265613988875874780598610418785575466612106726486464451918226939374088579537852722003778744614912.000000
